-8,-30750.6
-7.9,-29534.7
-7.8,-28349.7
-7.7,-27195.4
-7.6,-26071.4
-7.5,-24977.4
-7.4,-23913.3
-7.3,-22878.6
-7.2,-21873.1
-7.1,-20896.3
-7,-19948
-6.9,-19027.7
-6.8,-18135.2
-6.7,-17269.9
-6.6,-16431.6
-6.5,-15619.8
-6.4,-14834.1
-6.3,-14074.2
-6.2,-13339.5
-6.1,-12629.8
-6,-11944.6
-5.9,-11283.4
-5.8,-10645.9
-5.7,-10031.6
-5.6,-9440.15
-5.5,-8871.11
-5.4,-8324.06
-5.3,-7798.57
-5.2,-7294.24
-5.1,-6810.63
-5,-6347.34
-4.9,-5903.94
-4.8,-5480.02
-4.7,-5075.16
-4.6,-4688.94
-4.5,-4320.94
-4.4,-3970.74
-4.3,-3637.94
-4.2,-3322.12
-4.1,-3022.85
-4,-2739.72
-3.9,-2472.33
-3.8,-2220.24
-3.7,-1983.06
-3.6,-1760.36
-3.5,-1551.72
-3.4,-1356.75
-3.3,-1175.01
-3.2,-1006.1
-3.1,-849.603
-3,-705.103
-2.9,-572.188
-2.8,-450.444
-2.7,-339.455
-2.6,-238.809
-2.5,-148.091
-2.4,-66.8863
-2.3,5.2181
-2.2,68.6368
-2.1,123.784
-2,171.074
-1.9,210.921
-1.8,243.74
-1.7,269.944
-1.6,289.948
-1.5,304.167
-1.4,313.014
-1.3,316.906
-1.2,316.254
-1.1,311.475
-1,302.983
-0.9,291.192
-0.8,276.516
-0.7,259.371
-0.6,240.169
-0.5,219.327
-0.4,197.257
-0.3,174.375
-0.2,151.095
-0.1,127.832
-1.16851e-14,104.998
0.1,83.0096
0.2,62.2801
0.3,43.224
0.4,26.2555
0.5,11.7891
0.6,0.238803
0.7,-7.98093
0.8,-12.4558
0.9,-12.7716
1,-8.51396
1.1,0.731494
1.2,15.3791
1.3,35.8432
1.4,62.5382
1.5,95.8785
1.6,136.279
1.7,184.153
1.8,239.916
1.9,303.982
2,376.765
2.1,458.681
2.2,550.143
2.3,651.565
2.4,763.363
2.5,885.951
2.6,1019.74
2.7,1165.15
2.8,1322.59
2.9,1492.48
3,1675.23
3.1,1871.25
3.2,2080.97
3.3,2304.78
3.4,2543.11
3.5,2796.37
3.6,3064.97
3.7,3349.32
3.8,3649.85
3.9,3966.95
4,4301.05
4.1,4652.56
4.2,5021.89
4.3,5409.46
4.4,5815.67
4.5,6240.94
4.6,6685.69
4.7,7150.32
4.8,7635.26
4.9,8140.91
5,8667.7
5.1,9216.04
5.2,9786.34
5.3,10379
5.4,10994.5
5.5,11633.3
5.6,12295.6
5.7,12982.1
5.8,13693
5.9,14428.9
6,15190.2
6.1,15977.3
6.2,16790.6
6.3,17630.6
6.4,18497.7
